Date,Steps,Calories(kcal)
2026-01-01,439,1400
2026-01-02,4930,1634
2026-01-03,7229,1673
2026-01-04,7408,1615
2026-01-05,8864,1784
2026-01-06,6476,1759
2026-01-07,15405,2022
2026-01-08,16394,1901
2026-01-09,9276,1881
2026-01-10,8923,1791
2026-01-11,11930,1930
2026-01-12,4970,1706
2026-01-13,3224,1570
2026-01-14,1737,1541
2026-01-15,5591,1693
2026-01-16,1009,1533
2026-01-17,3660,1603
2026-01-18,1279,1473
2026-01-19,1496,1512
2026-01-20,758,1464
2026-01-21,5173,1733
2026-01-22,8271,1859
2026-01-23,581,1459
2026-01-24,762,1464
2026-01-25,2031,1518
2026-01-26,4932,1573
2026-01-27,11513,1878
2026-01-28,1191,1521
2026-01-29,1396,1540
2026-01-30,11673,1983
2026-01-31,1507,1560
2026-02-01,2549,1638
2026-02-02,6468,1808
2026-02-03,7715,1697
2026-02-04,8938,1781
2026-02-05,7379,1637
2026-02-06,9090,1723
2026-02-07,1722,1526
2026-02-08,5151,1653
2026-02-09,6194,1607
2026-02-10,6667,1679
2026-02-11,4781,1571
2026-02-12,5866,1625
2026-02-13,18041,2015
2026-02-14,895,1441
2026-02-15,792,1473
2026-02-16,3656,1576
2026-02-17,887,1449
2026-02-18,3407,1570
2026-02-19,6405,1624
2026-02-20,4218,1538
2026-02-21,6129,1726
2026-02-22,6723,1666
2026-02-23,7867,1733
2026-02-24,3292,1560
2026-02-25,52,1353
2026-02-26,3146,1506
2026-02-27,6958,1681
2026-02-28,4331,1587
2026-03-01,1620,1515
2026-03-02,5079,1592
2026-03-03,5670,1678
2026-03-04,2294,1455
2026-03-05,1313,1424
2026-03-06,1493,1431
2026-03-07,455,1369
2026-03-08,5912,1669
2026-03-09,6171,1675
2026-03-10,5405,1564
2026-03-11,9674,1812
2026-03-12,6279,1639
2026-03-13,4753,1570
2026-03-14,5287,1580
2026-03-15,8053,1660
2026-03-16,4640,1508
2026-03-17,5360,1576
2026-03-18,66,1346
2026-03-19,19,1350
2026-03-20,2743,1485
2026-03-21,3071,1495
2026-03-22,397,1384
2026-03-23,5403,1621
2026-03-24,4743,1538
2026-03-25,1368,1401
2026-03-26,4789,1557
2026-03-27,120,1350
2026-03-28,11,1346
2026-03-29,12761,2163
2026-03-30,5660,1632
2026-03-31,3774,1517
2026-04-01,5849,1606
2026-04-02,11861,1825
2026-04-03,5585,1596
2026-04-05,2631,1573
2026-04-04,520,1440
2026-04-06,9489,1753
2026-04-07,9336,1875
2026-04-08,5229,1608
2026-04-09,5383,1641
2026-04-10,5306,1641
2026-04-11,844,1450
2026-04-12,4954,1583
2026-04-13,5582,1535
2026-04-14,171,1361
2026-04-15,4620,1565
2026-04-16,5411,1548
2026-04-17,6992,1649
2026-04-18,12704,1869
2026-04-19,4798,1640
2026-04-20,7055,1736
2026-04-21,5682,1547
2026-04-22,2543,1438
2026-04-23,4491,1517
2026-04-24,7463,1911
2026-04-25,5553,1586
2026-04-26,295,1370
2026-04-27,12670,1871
2026-04-28,5234,1623
2026-04-29,6300,1713
2026-04-30,5652,1633
2026-05-01,5665,1568
2026-05-02,4516,1550
2026-05-03,4501,1534
2026-05-04,6110,1733
2026-05-05,21,1368
2026-05-06,1212,1407
2026-05-07,8320,1792
2026-05-08,6477,1643
2026-05-12,4744,1560
2026-05-13,5772,1641
2026-05-14,6276,1592
2026-05-15,3786,1547
2026-05-16,9627,1712
2026-05-17,7193,1631
2026-05-18,6461,1628
2026-05-19,10037,1758
2026-05-20,0,1344
2026-05-21,112,1364
2026-05-22,7001,1629
2026-05-23,3751,1502
2026-05-24,2935,1470
2026-05-25,6076,1579
2026-05-26,7088,1627
2026-05-27,5447,1599
2026-05-28,3459,1493
2026-05-29,62,1357
2026-05-30,4800,1582
2026-05-31,5677,1627
2026-06-01,4958,1527
2026-06-02,10848,1789
2026-06-03,8606,1711
2026-06-04,6013,1560
2026-06-05,7725,1666
2026-06-06,2727,1470
2026-06-07,0,0
2026-06-08,6219,1638
2026-06-09,5666,1597
2026-06-10,7884,1684
2026-06-11,248,1367
2026-06-12,6311,1601
2026-06-13,4036,1534
2026-06-14,,1344
2026-06-15,,1344
2026-06-16,7358,1710
2026-06-17,9894,1934
2026-06-18,6694,1703
2026-06-19,5689,1563
2026-06-20,1594,1474
2026-06-21,7690,1691
2026-06-22,1756,1454
2026-06-23,7778,1650
2026-06-24,6763,1631
2026-06-25,4655,1539
2026-06-26,6680,1633
2026-06-27,6834,1645
2026-06-28,1046,1547
